,FishnetID,ReportingMonth,PerformanceTarget,dl_avg_pred,df_error
8,127137,2018-02-01,0.846,0.9981712698936462,0.15217126989364627
50,836527,2018-05-01,0.7228,0.9960439205169678,0.2732439205169678
51,836527,2018-06-01,0.7866,0.5871487855911255,-0.19945121440887448
104,865952,2017-06-01,0.8074,0.0,-0.8074
105,865952,2017-07-01,0.7534,0.0,-0.7534
106,865952,2017-08-01,0.6906,0.0,-0.6906
114,865952,2018-04-01,0.7089,0.7059182524681091,-0.0029817475318908437
115,865952,2018-05-01,0.6853,0.6621444225311279,-0.02315557746887209
116,865952,2018-06-01,0.6853,0.6283588409423828,-0.05694115905761721
146,870939,2017-09-01,0.7947,0.7831106781959534,-0.011589321804046593
147,870939,2017-10-01,0.8136,0.750799298286438,-0.062800701713562
148,870939,2017-11-01,0.7776,0.7704699039459229,-0.007130096054077106
149,870939,2017-12-01,0.7819,0.7370967268943787,-0.04480327310562138
150,870939,2018-01-01,0.8031,0.7411339282989502,-0.06196607170104984
151,870939,2018-02-01,0.7568,0.7586454153060913,0.0018454153060912803
152,870939,2018-03-01,0.7734,0.7195371985435486,-0.05386280145645139
153,870939,2018-04-01,0.7729,0.7326929569244385,-0.040207043075561555
154,870939,2018-05-01,0.7923,0.7310885787010193,-0.06121142129898072
155,870939,2018-06-01,0.7819,0.7491207122802734,-0.0327792877197266
165,878219,2018-03-01,0.8295,0.8495646119117737,0.020064611911773667
199,888086,2017-10-01,0.5215,0.9993093013763428,0.4778093013763428
200,888086,2017-11-01,0.4542,0.3885456621646881,-0.06565433783531188
201,888086,2017-12-01,0.1875,0.14545157551765442,-0.04204842448234558
202,888086,2018-01-01,0.1429,0.1304807960987091,-0.012419203901290893
203,888086,2018-02-01,0.2939,0.12990710139274597,-0.16399289860725402
204,888086,2018-03-01,0.3913,0.15855629742145538,-0.2327437025785446
205,888086,2018-04-01,0.4255,0.3692454993724823,-0.05625450062751769
206,888086,2018-05-01,0.4528,0.4381802976131439,-0.01461970238685606
207,888086,2018-06-01,0.4361,0.47581222653388977,0.03971222653388978
209,890480,2017-07-01,0.7778,0.0,-0.7778
210,890480,2017-08-01,0.5477,0.0,-0.5477
211,890480,2017-09-01,0.6459,0.5064496994018555,-0.13945030059814456
212,890480,2017-10-01,0.7103,0.6153402924537659,-0.09495970754623417
213,890480,2017-11-01,0.6735,0.6759113073348999,0.0024113073348999148
214,890480,2017-12-01,0.6062,0.6420040130615234,0.035804013061523476
215,890480,2018-01-01,0.6062,0.5731798410415649,-0.03302015895843502
216,890480,2018-02-01,0.6062,0.5703763365745544,-0.03582366342544552
217,890480,2018-03-01,0.6129,0.5688269138336182,-0.044073086166381836
218,890480,2018-04-01,0.6796,0.5754871368408203,-0.10411286315917967
