,FishnetID,ReportingMonth,PerformanceTarget,dl_avg_pred,df_error
12,124679,2018-06-01,0.125,0.9997690916061401,0.8747690916061401
13,144322,2017-06-01,0.6937,0.0,-0.6937
17,144322,2017-10-01,0.8226,0.999544084072113,0.17694408407211304
18,144322,2017-11-01,0.7431,0.8212535977363586,0.07815359773635866
19,144322,2017-12-01,0.6803,0.7368221879005432,0.0565221879005432
20,144322,2018-01-01,0.67,0.6997764706611633,0.02977647066116329
21,144322,2018-02-01,0.7120000000000001,0.6862354278564453,-0.025764572143554765
22,144322,2018-03-01,0.7014,0.6958848237991333,-0.005515176200866723
23,144322,2018-04-01,0.7354,0.7329827547073364,-0.002417245292663628
24,144322,2018-05-01,0.742,0.7255174517631531,-0.016482548236846917
25,144322,2018-06-01,0.7408,0.7936125993728638,0.052812599372863755
26,146776,2017-06-01,0.7352,0.0,-0.7352
27,146776,2017-07-01,0.6761,0.0,-0.6761
28,146776,2017-08-01,0.6361,0.0,-0.6361
29,146776,2017-09-01,0.5247,0.5985581278800964,0.07385812788009638
30,146776,2017-10-01,0.5225,0.5401626229286194,0.01766262292861942
31,146776,2017-11-01,0.5071,0.5318855047225952,0.02478550472259522
32,146776,2017-12-01,0.5111,0.524225115776062,0.013125115776062013
33,146776,2018-01-01,0.5143,0.5266441702842712,0.01234417028427126
34,146776,2018-02-01,0.5288,0.5290226340293884,0.00022263402938837995
35,146776,2018-03-01,0.8143,0.5318446755409241,-0.28245532445907595
36,146776,2018-04-01,0.5435,0.6907273530960083,0.14722735309600832
38,146776,2018-06-01,0.4517,0.9943333864212036,0.5426333864212036
58,149231,2017-12-01,0.8009,0.8956665992736816,0.0947665992736817
61,149231,2018-03-01,0.8290000000000001,0.9040429592132568,0.07504295921325677
62,149231,2018-04-01,0.7177,0.8060252070426941,0.08832520704269409
63,149231,2018-05-01,0.6579,0.7256406545639038,0.06774065456390377
64,149231,2018-06-01,0.5024,0.6684522032737732,0.16605220327377324
71,154139,2017-12-01,0.8456,0.9188175797462463,0.07321757974624632
72,154139,2018-01-01,0.7868,0.833035945892334,0.04623594589233393
73,154139,2018-02-01,0.7417,0.7909002900123596,0.04920029001235959
74,154139,2018-03-01,0.7311,0.757697343826294,0.026597343826293973
75,154139,2018-04-01,0.6996,0.7358558773994446,0.03625587739944458
76,154139,2018-05-01,0.7386,0.7430444359779358,0.004444435977935757
77,154139,2018-06-01,0.7015,0.743720293045044,0.04222029304504393
94,419243,2017-09-01,0.8477,0.9154433608055115,0.06774336080551147
159,880752,2017-09-01,0.8039,0.9984867572784424,0.19458675727844243
160,880752,2017-10-01,0.7193,0.8105613589286804,0.09126135892868037
161,880752,2017-11-01,0.589,0.7473048567771912,0.1583048567771912
162,880752,2017-12-01,0.6478,0.6397649049758911,-0.00803509502410893
163,880752,2018-01-01,0.6451,0.6640536785125732,0.018953678512573235
164,880752,2018-02-01,0.6697,0.6587129831314087,-0.01098701686859127
165,880752,2018-03-01,0.6625,0.6826422214508057,0.020142221450805686
166,880752,2018-04-01,0.6669,0.6792800426483154,0.012380042648315381
167,880752,2018-05-01,0.7124,0.6836076974868774,-0.028792302513122592
168,880752,2018-06-01,0.7436,0.7266321778297424,-0.016967822170257607
174,883129,2017-11-01,0.8129,0.8539624214172363,0.04106242141723637
211,888174,2017-09-01,0.7717,0.8483533263206482,0.07665332632064814
212,888174,2017-10-01,0.7401,0.7721073627471924,0.0320073627471924
213,888174,2017-11-01,0.6331,0.7729645371437073,0.13986453714370728
214,888174,2017-12-01,0.5611,0.6797357201576233,0.11863572015762325
215,888174,2018-01-01,0.5038,0.6002975106239319,0.09649751062393186
216,888174,2018-02-01,0.5298,0.5746776461601257,0.044877646160125684
217,888174,2018-03-01,0.5635,0.5894702672958374,0.0259702672958374
218,888174,2018-04-01,0.597,0.62176513671875,0.024765136718750025
219,888174,2018-05-01,0.6552,0.6567466855049133,0.0015466855049133255
220,888174,2018-06-01,0.7022,0.709432065486908,0.007232065486907913
265,912621,2017-11-01,0.6623,0.9345906972885132,0.2722906972885132
266,912621,2017-12-01,0.653,0.6626004576683044,0.009600457668304418
267,912621,2018-01-01,0.6495,0.6464570760726929,-0.003042923927307095
268,912621,2018-02-01,0.6215,0.6244237422943115,0.002923742294311471
269,912621,2018-03-01,0.6739,0.620833158493042,-0.05306684150695806
270,912621,2018-04-01,0.7041,0.6748043894767761,-0.029295610523223825
271,912621,2018-05-01,0.6996,0.697765052318573,-0.0018349476814270016
272,912621,2018-06-01,0.7433,0.699913740158081,-0.043386259841918906
323,919986,2018-05-01,0.8092,0.9356991648674011,0.1264991648674011
324,919986,2018-06-01,0.833,0.836292028427124,0.0032920284271240607
338,922440,2017-06-01,0.5222,0.0,-0.5222
339,922440,2017-07-01,0.4796,0.0,-0.4796
340,922440,2017-08-01,0.4011,0.0,-0.4011
341,922440,2017-09-01,0.4077,0.4081774353981018,0.0004774353981017998
342,922440,2017-10-01,0.3723,0.3861055374145508,0.013805537414550761
343,922440,2017-11-01,0.3408,0.3826484680175781,0.04184846801757813
344,922440,2017-12-01,0.3109,0.3421500325202942,0.03125003252029418
345,922440,2018-01-01,0.2981,0.3238825798034668,0.02578257980346682
346,922440,2018-02-01,0.2762,0.3089338541030884,0.03273385410308838
347,922440,2018-03-01,0.2577,0.31310325860977173,0.055403258609771744
348,922440,2018-04-01,0.2883,0.30944323539733887,0.021143235397338866
349,922440,2018-05-01,0.3174,0.30906426906585693,-0.008335730934143082
350,922440,2018-06-01,0.335,0.3394984304904938,0.004498430490493754
387,924896,2018-04-01,0.8420000000000001,0.8522348999977112,0.0102348999977111
388,924896,2018-05-01,0.7139,0.8526140451431274,0.13871404514312746
389,924896,2018-06-01,0.6895,0.783726155757904,0.09422615575790405
403,924916,2017-06-01,0.3281,0.0,-0.3281
404,924916,2017-07-01,0.3347,0.0,-0.3347
405,924916,2017-08-01,0.3607,0.0,-0.3607
406,924916,2017-09-01,0.3301,0.38680553436279297,0.056705534362792964
407,924916,2017-10-01,0.3294,0.3635343909263611,0.03413439092636106
408,924916,2017-11-01,0.2955,0.3588554263114929,0.06335542631149294
409,924916,2017-12-01,0.2805,0.32442665100097656,0.043926651000976535
410,924916,2018-01-01,0.3167,0.3444035053253174,0.0277035053253174
411,924916,2018-02-01,0.3479,0.3745419681072235,0.026641968107223524
412,924916,2018-03-01,0.371,0.40107011795043945,0.030070117950439457
413,924916,2018-04-01,0.4186,0.42813611030578613,0.009536110305786105
414,924916,2018-05-01,0.4531,0.47608351707458496,0.022983517074584958
415,924916,2018-06-01,0.4764,0.5020505785942078,0.025650578594207774
427,927348,2018-05-01,0.8222,0.9083201885223389,0.08612018852233883
428,927348,2018-06-01,0.8431,0.9014226794242859,0.05832267942428593
450,927352,2018-02-01,0.6961,0.9500141739845276,0.25391417398452754
451,927352,2018-03-01,0.6304,0.7739589214324951,0.14355892143249516
452,927352,2018-04-01,0.7156,0.786612331867218,0.071012331867218
455,927364,2017-06-01,0.8133,0.0,-0.8133
456,927364,2017-07-01,0.8409,0.0,-0.8409
460,927364,2017-11-01,0.3798,0.6451482176780701,0.26534821767807004
461,927364,2017-12-01,0.4115,0.47122421860694885,0.059724218606948876
462,927364,2018-01-01,0.5412,0.5655795931816101,0.024379593181610093
463,927364,2018-02-01,0.6388,0.698384165763855,0.059584165763854946
464,927364,2018-03-01,0.736,0.8038395643234253,0.0678395643234253
465,927364,2018-04-01,0.8317,0.8740056753158569,0.04230567531585694
481,929804,2017-06-01,0.7547,0.0,-0.7547
482,929804,2017-07-01,0.5964,0.0,-0.5964
483,929804,2017-08-01,0.7213,0.0,-0.7213
485,929804,2017-10-01,0.7307,0.7427011728286743,0.0120011728286743
486,929804,2017-11-01,0.5231,0.6607527732849121,0.1376527732849121
487,929804,2017-12-01,0.7444,0.6768307089805603,-0.06756929101943965
488,929804,2018-01-01,0.7491,0.6897455453872681,-0.05935445461273192
489,929804,2018-02-01,0.6444,0.6789644956588745,0.03456449565887454
490,929804,2018-03-01,0.6682,0.6788351535797119,0.010635153579711898
491,929804,2018-04-01,0.7025,0.691008448600769,-0.01149155139923097
492,929804,2018-05-01,0.7414,0.6942647099494934,-0.04713529005050654
493,929804,2018-06-01,0.728,0.7890016436576843,0.061001643657684346
507,929806,2017-06-01,0.75,0.0,-0.75
517,929806,2018-04-01,0.815,0.8630117177963257,0.04801171779632574
518,929806,2018-05-01,0.7673,0.8185080289840698,0.05120802898406984
519,929806,2018-06-01,0.7724,0.8034698367118835,0.03106983671188357
555,932257,2018-03-01,0.8029,0.9169127345085144,0.11401273450851446
556,932257,2018-04-01,0.8276,0.8391838669776917,0.011583866977691648
557,932257,2018-05-01,0.8244,0.8766717910766602,0.052271791076660135
558,932257,2018-06-01,0.8441,0.9025226831436157,0.05842268314361576
564,932258,2017-11-01,0.8373,0.8318456411361694,-0.005454358863830611
565,932258,2017-12-01,0.7838,0.7587180137634277,-0.025081986236572318
566,932258,2018-01-01,0.7393,0.7522291541099548,0.012929154109954877
567,932258,2018-02-01,0.738,0.7683966755867004,0.03039667558670045
569,932258,2018-04-01,0.7825,0.8158461451530457,0.03334614515304568
570,932258,2018-05-01,0.8112,0.7599340677261353,-0.05126593227386478
571,932258,2018-06-01,0.8476,0.8267242312431335,-0.020875768756866475
589,932261,2017-10-01,0.8407,0.8920790553092957,0.05137905530929565
592,932261,2018-01-01,0.8415,0.8828277587890625,0.041327758789062474
593,932261,2018-02-01,0.8186,0.8542903661727905,0.03569036617279053
597,932261,2018-06-01,0.8317,0.9822107553482056,0.15051075534820557
617,932266,2017-12-01,0.8481,0.860512912273407,0.012412912273407017
618,932266,2018-01-01,0.8220000000000001,0.8478944301605225,0.025894430160522397
619,932266,2018-02-01,0.8199,0.8425086140632629,0.022608614063262977
620,932266,2018-03-01,0.8381,0.841793954372406,0.0036939543724060497
621,932266,2018-04-01,0.8464,0.8695448637008667,0.023144863700866658
632,932270,2018-02-01,0.8113,0.8849825859069824,0.0736825859069824
633,932270,2018-03-01,0.7646,0.7934817671775818,0.02888176717758184
634,932270,2018-04-01,0.6934,0.7330310344696045,0.039631034469604476
635,932270,2018-05-01,0.6231,0.6844543814659119,0.06135438146591188
637,934709,2017-06-01,0.1298,0.0,-0.1298
638,934709,2017-07-01,0.1095,0.0,-0.1095
639,934709,2017-08-01,0.1734,0.0,-0.1734
640,934709,2017-09-01,0.2355,0.27679067850112915,0.04129067850112916
641,934709,2017-10-01,0.2621,0.3255617618560791,0.0634617618560791
642,934709,2017-11-01,0.2727,0.3279382288455963,0.055238228845596316
643,934709,2017-12-01,0.2727,0.3273109495639801,0.054610949563980105
644,934709,2018-01-01,0.2754,0.3255345821380615,0.050134582138061545
645,934709,2018-02-01,0.32,0.36022788286209106,0.04022788286209106
646,934709,2018-03-01,0.3432,0.3861447274684906,0.042944727468490596
647,934709,2018-04-01,0.3659,0.42075446248054504,0.05485446248054504
