,FishnetID,ReportingMonth,PerformanceTarget,dl_avg_pred,df_error
21,146777,2018-02-01,0.7987,0.8525893688201904,0.053889368820190464
22,146777,2018-03-01,0.7766,0.8240796327590942,0.04747963275909428
23,146777,2018-04-01,0.7967,0.8188441395759583,0.022144139575958288
24,146777,2018-05-01,0.8220000000000001,0.8257688879966736,0.00376888799667352
25,146777,2018-06-01,0.7879,0.8515262603759766,0.06362626037597652
112,809547,2018-02-01,0.79,0.9996143579483032,0.2096143579483032
113,809547,2018-03-01,0.7829,0.9111748337745667,0.1282748337745666
114,809547,2018-04-01,0.6638,0.8320202231407166,0.1682202231407166
115,809547,2018-05-01,0.5831,0.7151555418968201,0.13205554189682012
116,809547,2018-06-01,0.6131,0.6327667832374573,0.019666783237457297
126,836528,2018-03-01,0.8183,0.9893921613693237,0.1710921613693237
170,858620,2017-07-01,0.7664,0.0,-0.7664
171,858620,2017-08-01,0.7946,0.0,-0.7946
255,880675,2018-02-01,0.4444,0.939988374710083,0.495588374710083
256,880675,2018-03-01,0.7436,0.8101538419723511,0.06655384197235104
257,880675,2018-04-01,0.8276,0.8592308759689331,0.0316308759689331
290,885584,2017-10-01,0.6886,0.9822680950164795,0.2936680950164795
291,885584,2017-11-01,0.6227,0.7248784303665161,0.10217843036651608
292,885584,2017-12-01,0.5934,0.6966202259063721,0.10322022590637203
335,890540,2018-04-01,0.7719,0.9725146889686584,0.20061468896865842
336,890540,2018-05-01,0.6942,0.7830866575241089,0.08888665752410885
337,890540,2018-06-01,0.7015,0.7225116491317749,0.02101164913177489
338,890629,2017-06-01,0.7419,0.0,-0.7419
339,890629,2017-07-01,0.8122,0.0,-0.8122
340,890629,2017-08-01,0.7603,0.0,-0.7603
342,890629,2017-10-01,0.8048,0.8328349590301514,0.028034959030151407
343,890629,2017-11-01,0.8071,0.8002305626869202,-0.006869437313079874
344,890629,2017-12-01,0.8298,0.8012270331382751,-0.028572966861724836
345,890629,2018-01-01,0.7899,0.8078776597976685,0.01797765979766841
346,890629,2018-02-01,0.8095,0.7898128032684326,-0.01968719673156738
347,890629,2018-03-01,0.7804,0.8056161403656006,0.025216140365600603
348,890629,2018-04-01,0.7553,0.7876018285751343,0.032301828575134306
349,890629,2018-05-01,0.7722,0.7735228538513184,0.0013228538513183619
350,890629,2018-06-01,0.7914,0.7832024097442627,-0.008197590255737297
360,900363,2018-03-01,0.7602,0.9347313046455383,0.17453130464553834
361,900363,2018-04-01,0.7599,0.8066237568855286,0.046723756885528545
401,910169,2018-05-01,0.8326,0.9348273277282715,0.10222732772827148
402,910169,2018-06-01,0.7866,0.9120125770568848,0.1254125770568848
440,917514,2018-05-01,0.8394,0.907968282699585,0.06856828269958493
498,922421,2017-10-01,0.7538,0.9994529485702515,0.24565294857025144
499,922421,2017-11-01,0.8305,0.8424049615859985,0.01190496158599852
500,922421,2017-12-01,0.7528,0.8112075328826904,0.058407532882690405
501,922421,2018-01-01,0.5817,0.7234592437744141,0.14175924377441407
502,922421,2018-02-01,0.5483,0.6057766675949097,0.05747666759490966
503,922421,2018-03-01,0.5082,0.5791355967521667,0.07093559675216676
504,922421,2018-04-01,0.5785,0.5517367124557495,-0.026763287544250502
505,922421,2018-05-01,0.6217,0.5863698124885559,-0.03533018751144412
506,922421,2018-06-01,0.6487,0.6204102635383606,-0.02828973646163946
598,932259,2017-06-01,0.8001,0.0,-0.8001
599,932259,2017-07-01,0.8078,0.0,-0.8078
600,932259,2017-08-01,0.8468,0.0,-0.8468
605,932259,2018-01-01,0.8467,0.8737503886222839,0.027050388622283927
606,932259,2018-02-01,0.8181,0.8582647442817688,0.04016474428176875
608,932259,2018-04-01,0.8187,0.931420087814331,0.11272008781433107
610,932259,2018-06-01,0.78,0.8894214034080505,0.10942140340805051
631,932261,2018-01-01,0.8365,0.8618723750114441,0.02537237501144407
632,932261,2018-02-01,0.8298,0.8543804287910461,0.02458042879104616
676,932271,2017-06-01,0.6421,0.0,-0.6421
677,932271,2017-07-01,0.6762,0.0,-0.6762
678,932271,2017-08-01,0.7096,0.0,-0.7096
679,932271,2017-09-01,0.7285,0.7728827595710754,0.0443827595710754
680,932271,2017-10-01,0.4926,0.6761173605918884,0.18351736059188845
681,932271,2017-11-01,0.5389,0.585770845413208,0.04687084541320796
682,932271,2017-12-01,0.513,0.5754932165145874,0.06249321651458739
683,932271,2018-01-01,0.4763,0.5527769923210144,0.0764769923210144
684,932271,2018-02-01,0.5053,0.5702432990074158,0.0649432990074158
685,932271,2018-03-01,0.4744,0.5688455700874329,0.09444557008743287
686,932271,2018-04-01,0.5227,0.5767321586608887,0.05403215866088862
687,932271,2018-05-01,0.5782,0.6376290321350098,0.05942903213500972
688,932271,2018-06-01,0.6247,0.6587464213371277,0.03404642133712765
747,937167,2017-12-01,0.8151,0.8374578952789307,0.022357895278930617
748,937167,2018-01-01,0.8002,0.8170275688171387,0.01682756881713865
749,937167,2018-02-01,0.7596,0.7978225350379944,0.03822253503799433
750,937167,2018-03-01,0.7266,0.7768539190292358,0.050253919029235816
751,937167,2018-04-01,0.7409,0.7677798867225647,0.026879886722564694
752,937167,2018-05-01,0.7487,0.7751787900924683,0.02647879009246823
753,937167,2018-06-01,0.7406,0.7884789109230042,0.047878910923004114
770,939624,2017-09-01,0.8163,0.882327139377594,0.06602713937759397
771,939624,2017-10-01,0.8383,0.8659201264381409,0.027620126438140824
772,939624,2017-11-01,0.8439,0.8562588095664978,0.01235880956649782
773,939624,2017-12-01,0.7129,0.8400958180427551,0.12719581804275515
774,939624,2018-01-01,0.7396,0.7886307239532471,0.049030723953247035
775,939624,2018-02-01,0.7702,0.798762321472168,0.028562321472167973
776,939624,2018-03-01,0.7686,0.826110303401947,0.05751030340194707
779,939624,2018-06-01,0.6818,0.8684247732162476,0.1866247732162476
817,944523,2018-05-01,0.7101,0.9999679327011108,0.2898679327011109
818,944523,2018-06-01,0.7443,0.9970417022705078,0.25274170227050785
857,949435,2018-06-01,0.7665,0.9999024271965027,0.23340242719650273
865,954329,2018-01-01,0.8457,0.9997311234474182,0.1540311234474182
866,954329,2018-02-01,0.5428,0.9419965744018555,0.3991965744018555
867,954329,2018-03-01,0.8015,0.642200231552124,-0.15929976844787597
868,954329,2018-04-01,0.7047,0.8291153907775879,0.1244153907775879
869,954329,2018-05-01,0.7279,0.742702066898346,0.014802066898345956
870,954329,2018-06-01,0.7441,0.7683519721031189,0.024251972103118913
949,1096607,2017-06-01,0.5087,0.0,-0.5087
950,1096607,2017-07-01,0.8147,0.0,-0.8147
955,1096607,2017-12-01,0.8208,0.8914389610290527,0.07063896102905276
956,1096607,2018-01-01,0.7717,0.8483043313026428,0.07660433130264277
957,1096607,2018-02-01,0.7584,0.79606693983078,0.037666939830780066
958,1096607,2018-03-01,0.7645,0.7794921398162842,0.014992139816284222
959,1096607,2018-04-01,0.7624,0.7826552987098694,0.020255298709869418
960,1096607,2018-05-01,0.835,0.7801582217216492,-0.054841778278350795
994,1150821,2017-12-01,0.8467,0.9199191927909851,0.0732191927909851
995,1150821,2018-01-01,0.8185,0.8578321933746338,0.039332193374633784
996,1150821,2018-02-01,0.8208,0.8301647901535034,0.009364790153503444
997,1150821,2018-03-01,0.8105,0.8288387656211853,0.018338765621185305
998,1150821,2018-04-01,0.8308,0.8180677890777588,-0.012732210922241194
999,1150821,2018-05-01,0.8319,0.8370211720466614,0.005121172046661404
1000,1150821,2018-06-01,0.8357,0.8379799723625183,0.002279972362518312
1027,1190131,2017-06-01,0.6201,0.0,-0.6201
1028,1190131,2017-07-01,0.6378,0.0,-0.6378
1029,1190131,2017-08-01,0.6721,0.0,-0.6721
1030,1190131,2017-09-01,0.6759999999999999,0.7454895973205566,0.0694895973205567
1031,1190131,2017-10-01,0.7136,0.7598439455032349,0.04624394550323485
1032,1190131,2017-11-01,0.7857,0.8015759587287903,0.01587595872879033
1033,1190131,2017-12-01,0.8351,0.8541439175605774,0.01904391756057744
1053,1265823,2017-06-01,0.8158,0.0,-0.8158
1054,1265823,2017-07-01,0.7885,0.0,-0.7885
1055,1265823,2017-08-01,0.7525,0.0,-0.7525
1056,1265823,2017-09-01,0.7051,0.7901723384857178,0.08507233848571782
1057,1265823,2017-10-01,0.7294,0.7492331266403198,0.019833126640319776
1058,1265823,2017-11-01,0.7653,0.7679764032363892,0.00267640323638918
1059,1265823,2017-12-01,0.7894,0.7963247895240784,0.0069247895240783786
1060,1265823,2018-01-01,0.8108,0.8160344362258911,0.005234436225891148
1061,1265823,2018-02-01,0.8276,0.8351069092750549,0.007506909275054929
1062,1265823,2018-03-01,0.8422,0.8519402146339417,0.009740214633941702
1162,1341925,2017-11-01,0.8168,0.9070650339126587,0.09026503391265872
1164,1341925,2018-01-01,0.8021,0.8813940286636353,0.07929402866363522
1165,1341925,2018-02-01,0.8304,0.8507508039474487,0.020350803947448703
1167,1341925,2018-04-01,0.8343,0.8951959609985352,0.060895960998535115
1168,1341925,2018-05-01,0.8261,0.8814572095870972,0.05535720958709722
1169,1341925,2018-06-01,0.8342,0.8454375863075256,0.011237586307525582
1176,1341943,2017-12-01,0.7659,0.9970716834068298,0.2311716834068298
1177,1341943,2018-01-01,0.8297,0.8663297891616821,0.036629789161682136
1179,1341943,2018-03-01,0.8329,0.9215145707130432,0.08861457071304324
1180,1341943,2018-04-01,0.741,0.8929355144500732,0.15193551445007325
1181,1341943,2018-05-01,0.6459999999999999,0.8154780864715576,0.1694780864715577
1182,1341943,2018-06-01,0.5894,0.7345165610313416,0.14511656103134152
1205,1350689,2018-03-01,0.8324,0.9036933779716492,0.07129337797164914
1206,1350689,2018-04-01,0.8213,0.8631200194358826,0.04182001943588254
1207,1350689,2018-05-01,0.8449,0.8488543629646301,0.003954362964630143
1226,1354203,2017-10-01,0.7817,0.7926523089408875,0.0109523089408875
1228,1354203,2017-12-01,0.5864,0.8198201060295105,0.23342010602951047
1229,1354203,2018-01-01,0.6319,0.6687632203102112,0.036863220310211164
